DienTich,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem
62.0,2.0,15.0,2.0,2,2,1,5,5,1
95.0,3.0,35.0,2.0,2,1,2,1,3,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
83.0,2.0,25.0,2.0,2,2,2,3,6,1
71.0,2.0,15.0,1.0,2,1,1,5,5,1
71.0,2.0,15.0,2.0,2,1,3,4,7,1
78.0,2.0,9.0,2.0,2,1,3,2,1,1
50.0,1.0,3.0,1.0,2,2,1,1,0,1
40.0,1.0,15.0,1.0,2,2,1,5,5,1
78.0,3.0,15.0,2.0,2,0,1,5,5,1
43.0,1.0,15.0,1.0,2,0,1,5,5,1
59.0,2.0,15.0,1.0,2,1,1,5,5,1
80.0,4.0,35.0,4.0,0,1,0,6,4,1
59.0,2.0,15.0,1.0,2,0,2,5,5,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
87.0,2.0,35.0,2.0,2,2,2,3,7,1
96.0,3.0,15.0,3.0,2,2,1,5,2,1
83.0,2.0,5.0,2.0,2,1,2,4,6,1
83.0,2.0,25.0,2.0,2,2,2,3,3,1
50.0,1.0,15.0,1.0,2,2,3,5,5,1
56.0,1.0,25.0,1.0,2,2,3,7,0,1
51.0,2.0,6.0,1.0,2,2,1,2,5,1
67.62,2.0,14.0,2.0,2,1,2,6,4,1
68.0,2.0,4.0,2.0,2,0,1,5,5,1
83.0,2.0,25.0,2.0,2,2,2,3,6,1
89.0,3.0,35.0,2.0,2,1,0,7,3,1
55.0,2.0,15.0,2.0,2,0,1,5,5,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
95.0,3.0,35.0,2.0,2,1,2,1,3,1
40.0,2.0,7.0,1.0,2,2,3,5,5,1
68.0,2.0,15.0,2.0,2,0,1,5,7,1
69.0,2.0,15.0,2.0,2,0,3,2,1,1
69.36,2.0,5.0,2.0,2,0,3,4,7,1
62.5,2.0,15.0,2.0,2,1,1,5,5,1
69.0,2.0,15.0,2.0,2,1,1,3,7,1
85.0,3.0,15.0,2.0,2,1,1,5,1,1
83.0,3.0,5.0,2.0,2,1,3,1,0,1
90.0,3.0,25.0,2.0,2,2,3,7,6,1
73.0,2.0,25.0,2.0,2,2,2,1,3,1
79.0,2.0,15.0,2.0,2,1,1,5,5,1
51.0,2.0,15.0,2.0,2,0,1,5,5,1
62.0,2.0,6.0,2.0,2,1,1,3,7,1
75.0,2.0,12.0,2.0,2,1,3,1,0,1
62.0,2.0,15.0,2.0,2,0,1,5,5,1
75.8,2.0,35.0,2.0,2,2,0,1,3,1
49.0,1.0,15.0,1.0,4,1,2,2,5,1
40.0,1.0,15.0,1.0,2,2,1,5,5,1
90.0,2.0,8.0,2.0,2,2,0,1,3,1
85.0,3.0,15.0,2.0,2,0,1,1,0,1
83.0,2.0,25.0,2.0,2,2,2,3,6,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
73.6,2.0,20.0,2.0,2,1,2,6,4,1
87.0,2.0,28.0,2.0,2,1,3,3,7,1
49.0,1.0,25.0,1.0,2,1,2,7,6,1
78.0,2.0,15.0,2.0,2,1,1,5,5,1
45.0,2.0,25.0,2.0,2,2,3,3,4,1
87.0,3.0,25.0,3.0,2,2,2,1,3,1
38.0,1.0,15.0,1.0,2,0,1,5,5,1
79.25,2.0,35.0,2.0,2,1,3,1,3,1
75.0,2.0,15.0,2.0,2,1,1,5,2,1
68.0,2.0,15.0,2.0,2,1,3,5,5,1
50.0,1.0,15.0,1.0,2,1,1,5,5,1
83.0,2.0,25.0,2.0,2,2,2,1,7,1
34.0,1.0,10.0,1.0,2,0,1,5,5,1
120.0,3.0,45.0,2.0,2,1,2,6,4,1
65.0,2.0,15.0,2.0,2,2,1,5,5,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
48.8,1.0,21.0,1.0,2,0,1,7,0,1
25.0,1.0,15.0,1.0,4,0,1,5,5,1
56.0,2.0,8.0,1.0,2,2,1,5,5,1
34.0,1.0,15.0,1.0,2,0,1,5,5,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
68.0,2.0,15.0,2.0,2,1,1,5,2,1
50.0,1.0,35.0,1.0,2,1,2,1,3,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
50.0,1.0,15.0,1.0,2,0,1,5,5,1
71.0,2.0,15.0,2.0,2,0,3,2,1,1
72.92,2.0,25.0,2.0,2,2,2,1,1,1
53.0,2.0,15.0,1.0,2,1,1,5,5,1
72.0,2.0,15.0,2.0,2,0,1,5,5,1
71.0,2.0,25.0,2.0,2,1,3,6,0,1
89.0,3.0,25.0,2.0,2,2,2,1,3,1
66.0,2.0,25.0,2.0,2,2,2,3,3,1
65.0,2.0,14.0,2.0,2,2,2,0,1,1
73.0,2.0,25.0,2.0,2,1,3,7,0,1
79.0,2.0,15.0,2.0,2,1,3,3,7,1
66.0,2.0,25.0,2.0,2,2,2,3,3,1
68.0,2.0,15.0,1.0,2,1,3,7,3,1
64.0,2.0,10.0,2.0,2,1,3,1,0,1
98.0,2.0,35.0,2.0,2,2,3,1,3,1
50.0,2.0,15.0,1.0,2,0,3,5,5,1
49.0,1.0,15.0,1.0,2,0,1,5,5,1
53.0,1.0,15.0,1.0,2,0,1,7,3,1
59.0,1.0,15.0,1.0,2,0,1,5,5,1
56.0,2.0,15.0,1.0,2,0,1,5,5,1
194.0,3.0,45.0,3.0,5,2,2,1,3,1
56.0,2.0,5.0,1.0,2,2,3,1,2,1
60.45,2.0,18.0,2.0,2,1,1,6,4,1
83.6,3.0,3.0,2.0,2,1,2,1,6,1
73.6,2.0,20.0,2.0,2,1,2,6,4,1
71.42,2.0,25.0,2.0,2,2,3,7,0,1
46.0,1.0,15.0,1.0,2,0,1,5,2,1
79.0,2.0,15.0,2.0,2,1,1,5,5,1
72.0,2.0,9.0,2.0,2,1,1,3,4,1
80.0,2.0,35.0,2.0,2,1,2,2,5,1
38.0,1.0,15.0,1.0,2,0,1,5,5,1
46.0,2.0,26.0,2.0,2,1,2,5,2,1
48.5,1.0,15.0,1.0,2,1,1,5,5,1
86.0,3.0,35.0,2.0,2,2,0,1,3,1
52.0,1.0,15.0,1.0,2,1,1,5,5,1
106.0,2.0,25.0,2.0,2,2,1,1,3,1
40.0,1.0,15.0,1.0,2,2,3,5,5,1
99.0,3.0,30.0,3.0,3,2,3,7,0,1
74.0,2.0,45.0,2.0,2,2,0,1,3,1
88.0,2.0,15.0,2.0,2,2,3,6,3,1
69.0,2.0,25.0,2.0,2,2,3,1,3,1
59.0,2.0,15.0,1.0,2,0,1,7,3,1
80.0,2.0,15.0,2.0,2,2,3,5,5,1
58.0,2.0,18.0,2.0,2,1,3,5,7,1
64.0,2.0,15.0,2.0,2,2,1,1,0,1
53.0,2.0,15.0,1.0,2,2,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
73.0,3.0,15.0,2.0,2,1,1,5,5,1
25.0,1.0,15.0,1.0,2,0,1,5,5,1
91.0,2.0,15.0,2.0,2,2,1,5,5,1
52.0,1.0,15.0,1.0,2,0,1,5,5,1
62.0,2.0,22.0,2.0,2,1,2,7,3,1
56.0,2.0,15.0,1.0,2,0,1,5,5,1
100.0,3.0,15.0,2.0,2,2,3,5,5,1
71.42,2.0,25.0,2.0,2,2,2,3,3,1
52.0,2.0,25.0,1.0,2,1,3,7,6,1
75.0,2.0,16.0,2.0,2,0,1,0,2,1
70.0,2.0,6.0,2.0,2,2,2,6,4,1
71.0,2.0,15.0,2.0,2,1,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
